datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2017-01-03,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.009712696075439453
2017-01-04,99956327.30931655,-4.945468390360475e-16,87345381.36680965,0.8734538136680965,43672.69068340482,0.0004367269068340482,87345381.36680962,12610945.942506924,0.007803201675415039
2017-01-05,100303982.56555109,0.003716311371448483,115719835.02270466,0.2838685095750846,67486.27027670291,0.0002382398416821235,96838598.32783134,3465384.2377197477,-0.00015437602996826172
2017-01-06,99745097.214031,-0.005366234629535725,137746867.24970555,0.2196027681413915,88116.91707318633,0.00020568123287627974,99093114.48414266,651982.729888336,-0.005974292755126953
2017-01-09,100795915.31226335,0.010737991742814822,158036707.87035075,0.20341692160675998,108360.84911135434,0.00020295666256887792,100255993.6793676,539921.6328957472,0.004848122596740723
2017-01-10,100224730.27553788,-0.00547494748247104,177374690.42917624,0.19185283946196513,127693.54305459032,0.00019180037091129885,99714718.56776443,510011.707773444,-0.0016736388206481934
2017-01-11,99127771.05168083,-0.010747817960948333,197123876.00121266,0.19704902689926873,147455.6107250073,0.00019717755903245738,98611757.21481663,516013.836864196,-0.007078111171722412
2017-01-12,98548115.58214939,-0.005638601383377005,217813109.61081594,0.20871278946458743,168169.09327336744,0.00020895741252530573,98004317.35031986,543798.231829528,-0.005062282085418701
2017-01-13,98316221.89123145,-0.0021558512864650174,237258899.7889524,0.19732280077873757,187607.7024348264,0.00019724993265096994,97806224.3019184,509997.58931303816,0.0006903409957885742
2017-01-16,97880332.37970226,-0.004234371819755702,256829683.2310489,0.1990595556422817,207189.77456293962,0.00019917437581945654,97367339.49048391,512992.889218342,-0.0001386404037475586
2017-01-17,98528280.03419793,0.006827853125620305,277172568.4413605,0.20783424734804157,227554.65344277272,0.00020805894692748532,97991664.68481642,536615.3493815036,0.002081751823425293
2017-01-18,98691704.53615947,0.001852075445105201,296239441.8322904,0.19351675868402518,246611.95958101557,0.00019341965709366188,98193280.9982904,498423.53786906204,0.003911137580871582
2017-01-19,98579446.85990326,-0.0009370758733692946,315995850.0430466,0.20018306810698228,266388.02061469917,0.00020038220159058942,98061493.73721297,517953.12269029673,-0.0030185580253601074
2017-01-20,99990930.94658557,0.014525387712765016,336396139.74827385,0.20694262703887192,286808.6200824052,0.0002071486513484591,99452778.89840509,538152.0481804714,0.007689356803894043
2017-01-23,100437262.91113314,0.004662917734612897,356311052.138165,0.19916718647743714,306726.1407461181,0.0001991932715813264,99913811.83597283,523451.0751603164,0.0027391910552978516
2017-01-24,99637227.14489256,-0.007762661742953869,376670354.2224844,0.2027066598014854,327101.40861944715,0.00020286562260619432,99102219.75958623,535007.3853063281,0.0001100301742553711
2017-01-25,100274645.25814189,0.00660042423743793,396892771.4674309,0.20296045789731804,347331.2643683727,0.0002030351137683434,99744990.72062641,529654.5375154696,0.003403306007385254
2017-01-26,101076065.76139566,0.008196805415796383,417381538.2656239,0.20432649495241603,367842.5164335983,0.0002045507317669637,100521951.94188026,554113.8195154052,0.0035723447799682617
2017-02-03,100766262.55465944,-0.0028644743871539895,437654522.435072,0.200571559812244,388115.92164201004,0.00020057572537765747,100231580.06242527,534682.4922341723,-0.006927490234375
2017-02-06,101228070.02466248,0.004789194816501229,458421530.141338,0.20609087982201557,408897.7139439482,0.00020623760150541794,100684600.13338591,543469.8912765728,0.002591848373413086
2017-02-07,101075817.26015633,-0.0012933666768331744,479731235.4051349,0.21051182007722938,430225.46592006093,0.00021069009782480867,100517581.69622408,558235.5639322582,-0.0022322535514831543
2017-02-08,101792935.96769357,0.007285232353551373,498988759.72142214,0.19052553655560156,449467.5724481643,0.00019037299969167312,101284778.08665708,508157.8810364895,0.00523221492767334
2017-02-09,102367629.17402832,0.005837831977172697,518533045.0582567,0.19200040897766618,469024.42275590374,0.00019212384554804758,101853898.20148982,513730.972538498,0.0038423538208007812
2017-02-10,102972725.91345298,0.006073735034903886,535218666.04299754,0.16299704427436482,485681.53908558784,0.00016271859047713662,102532661.36735786,440064.5460951126,0.00506436824798584
2017-02-13,103876815.32907969,0.008986198166352832,556395068.3146392,0.20565059421113235,506925.4442467071,0.00020630613565551738,103322988.90919061,553826.4198890836,0.006676435470581055
2017-02-14,103947621.11872485,0.0008747173708516796,576455005.1285937,0.19311274368977324,526982.5093986399,0.0001930850988104751,103419595.08803032,528026.0306945292,-0.00013971328735351562
2017-02-15,102709370.26550235,-0.011707338915037514,597730731.7459456,0.20467737874493153,548283.3327723212,0.00020491881530749345,102152451.54552306,556918.719979282,-0.004100918769836426
2017-02-16,103391784.6559866,0.006816829297562962,615504129.7366387,0.1730455356190881,566021.1866481812,0.0001726994706520727,102923692.01954937,468092.6364372312,0.005617022514343262
2017-02-17,103045102.24538808,-0.0031553230590383114,635909567.1913898,0.19736033692276164,586469.1150065545,0.00019777130674752667,102512475.73006447,532626.5153236054,-0.005664229393005371
